n_5m,n_1h,atr_mult,buffer,r_target,min_stop_atr,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,skipped_min_stop,ignored_in_position,pct_time_neutral_1h,h1_state_changes_per_week
2,3,1.5,0,1.5,0,3006,-0.4309,0.4630,29.2083,-99.6056,-99.5959,6086.9189,11.4709,-8.47,0.3394,1.0986,1.5313,25.1164,0,1693,39.0678,13.5507
2,3,1.5,0,1.5,0.5,3006,-0.4309,0.4630,29.2083,-99.6056,-99.5959,6086.9189,11.4709,-8.47,0.3394,1.0986,1.5313,25.1164,0,1693,39.0678,13.5507
2,3,1.5,0,2,0,2894,-0.4411,0.4899,25.1209,-99.5737,-99.5670,6066.9861,12.5068,-7.807,0.3409,1.0971,1.4743,25.3628,0,1885,39.0678,13.5507
2,3,1.5,0,2,0.5,2894,-0.4411,0.4899,25.1209,-99.5737,-99.5670,6066.9861,12.5068,-7.807,0.3409,1.0971,1.4743,25.3628,0,1885,39.0678,13.5507
2,3,1.5,0,3,0,2770,-0.4603,0.5176,22.0939,-99.5747,-99.5652,6316.1554,13.6882,-7.044,0.3466,1.0747,1.4111,26.3177,0,2106,39.0678,13.5507
2,3,1.5,0,3,0.5,2770,-0.4603,0.5176,22.0939,-99.5747,-99.5652,6316.1554,13.6882,-7.044,0.3466,1.0747,1.4111,26.3177,0,2106,39.0678,13.5507
2,3,1.5,0.1,1.5,0,2819,-0.4276,0.4567,29.3721,-99.4590,-99.4411,5785.5131,11.7250,-8.101,0.3289,1.1310,1.4361,23.5899,0,1556,39.0678,13.5507
2,3,1.5,0.1,1.5,0.5,2819,-0.4276,0.4567,29.3721,-99.4590,-99.4411,5785.5131,11.7250,-8.101,0.3289,1.1310,1.4361,23.5899,0,1556,39.0678,13.5507
2,3,1.5,0.1,2,0,2705,-0.4432,0.4881,25.0647,-99.4487,-99.4306,5847.2319,12.8352,-7.55,0.3303,1.1276,1.3780,23.8817,0,1753,39.0678,13.5507
2,3,1.5,0.1,2,0.5,2705,-0.4432,0.4881,25.0647,-99.4487,-99.4306,5847.2319,12.8352,-7.55,0.3303,1.1276,1.3780,23.8817,0,1753,39.0678,13.5507
2,3,1.5,0.1,3,0,2595,-0.4542,0.5196,22.2736,-99.4057,-99.3870,6140.5422,13.9763,-6.739,0.3358,1.1021,1.3220,24.7013,0,1945,39.0678,13.5507
2,3,1.5,0.1,3,0.5,2595,-0.4542,0.5196,22.2736,-99.4057,-99.3870,6140.5422,13.9763,-6.739,0.3358,1.1021,1.3220,24.7013,0,1945,39.0678,13.5507
2,3,2,0,1.5,0,2294,-0.3512,0.4662,29.5118,-97.4996,-97.4495,5878.3666,10.8455,-6.613,0.2733,1.3622,1.1686,14.9520,0,1512,38.5672,9.8670
2,3,2,0,1.5,0.5,2294,-0.3512,0.4662,29.5118,-97.4996,-97.4495,5878.3666,10.8455,-6.613,0.2733,1.3622,1.1686,14.9520,0,1512,38.5672,9.8670
2,3,2,0,2,0,2197,-0.3723,0.4650,26.2631,-97.6441,-97.6070,5680.6687,11.6301,-6.32,0.2755,1.3608,1.1192,15.1115,0,1644,38.5672,9.8670
2,3,2,0,2,0.5,2197,-0.3723,0.4650,26.2631,-97.6441,-97.6070,5680.6687,11.6301,-6.32,0.2755,1.3608,1.1192,15.1115,0,1644,38.5672,9.8670
2,3,2,0,3,0,2110,-0.3640,0.4836,24.4076,-97.0369,-96.9753,5774.6206,12.2715,-5.331,0.2795,1.3335,1.0749,15.5450,0,1769,38.5672,9.8670
2,3,2,0,3,0.5,2110,-0.3640,0.4836,24.4076,-97.0369,-96.9753,5774.6206,12.2715,-5.331,0.2795,1.3335,1.0749,15.5450,0,1769,38.5672,9.8670
2,3,2,0.1,1.5,0,2179,-0.3473,0.4676,29.6466,-96.9509,-96.8895,5620.5348,11.0020,-6.31,0.2633,1.4082,1.1100,13.7219,0,1355,38.5672,9.8670
2,3,2,0.1,1.5,0.5,2179,-0.3473,0.4676,29.6466,-96.9509,-96.8895,5620.5348,11.0020,-6.31,0.2633,1.4082,1.1100,13.7219,0,1355,38.5672,9.8670
2,3,2,0.1,2,0,2085,-0.3659,0.4692,26.4269,-97.0498,-96.9973,5466.9670,11.7602,-6.041,0.2664,1.3948,1.0621,13.9089,0,1482,38.5672,9.8670
2,3,2,0.1,2,0.5,2085,-0.3659,0.4692,26.4269,-97.0498,-96.9973,5466.9670,11.7602,-6.041,0.2664,1.3948,1.0621,13.9089,0,1482,38.5672,9.8670
2,3,2,0.1,3,0,1989,-0.3571,0.4865,24.5349,-96.2578,-96.1623,5530.0115,12.4245,-5.098,0.2709,1.3663,1.0132,14.4294,0,1623,38.5672,9.8670
2,3,2,0.1,3,0.5,1989,-0.3571,0.4865,24.5349,-96.2578,-96.1623,5530.0115,12.4245,-5.098,0.2709,1.3663,1.0132,14.4294,0,1623,38.5672,9.8670
2,3,3,0,1.5,0,1333,-0.2061,0.6163,31.2828,-74.0954,-73.9014,5638.6336,11.2057,-3.264,0.1795,2.1193,0.6791,5.1013,0,1279,38.6966,5.2491
2,3,3,0,1.5,0.5,1333,-0.2061,0.6163,31.2828,-74.0954,-73.9014,5638.6336,11.2057,-3.264,0.1795,2.1193,0.6791,5.1013,0,1279,38.6966,5.2491
2,3,3,0,2,0,1275,-0.2076,0.6304,29.0980,-72.6431,-72.4770,5560.1085,11.6668,-2.892,0.1828,2.0743,0.6495,5.3333,0,1352,38.6966,5.2491
2,3,3,0,2,0.5,1275,-0.2076,0.6304,29.0980,-72.6431,-72.4770,5560.1085,11.6668,-2.892,0.1828,2.0743,0.6495,5.3333,0,1352,38.6966,5.2491
2,3,3,0,3,0,1221,-0.1999,0.6522,26.6994,-69.4693,-69.2838,5503.6900,12.1775,-2.405,0.1864,2.0007,0.6220,5.4873,0,1428,38.6966,5.2491
2,3,3,0,3,0.5,1221,-0.1999,0.6522,26.6994,-69.4693,-69.2838,5503.6900,12.1775,-2.405,0.1864,2.0007,0.6220,5.4873,0,1428,38.6966,5.2491
2,3,3,0.1,1.5,0,1268,-0.2012,0.6258,31.6246,-71.5828,-71.2741,5369.4505,11.3322,-3.084,0.1762,2.1541,0.6460,4.4953,0,1143,38.6966,5.2491
2,3,3,0.1,1.5,0.5,1268,-0.2012,0.6258,31.6246,-71.5828,-71.2741,5369.4505,11.3322,-3.084,0.1762,2.1541,0.6460,4.4953,0,1143,38.6966,5.2491
2,3,3,0.1,2,0,1216,-0.2139,0.6211,28.9474,-72.1720,-72.0202,5162.8936,11.7706,-2.909,0.1793,2.0970,0.6195,4.6875,0,1212,38.6966,5.2491
2,3,3,0.1,2,0.5,1216,-0.2139,0.6211,28.9474,-72.1720,-72.0202,5162.8936,11.7706,-2.909,0.1793,2.0970,0.6195,4.6875,0,1212,38.6966,5.2491
