n_5m,n_1h,atr_mult,buffer,r_target,min_stop_atr,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,skipped_min_stop,ignored_in_position,pct_time_neutral_1h,h1_state_changes_per_week
2,3,1.5,0,1.5,0,3115,-0.2746,0.6509,33.7721,-98.0663,-98.0014,9321.7103,11.7799,-5.851,0.2654,1.3576,1.5869,13.2584,0,1867,37.3978,13.2084
2,3,1.5,0,1.5,0.5,3115,-0.2746,0.6509,33.7721,-98.0663,-98.0014,9321.7103,11.7799,-5.851,0.2654,1.3576,1.5869,13.2584,0,1867,37.3978,13.2084
2,3,1.5,0,2,0,2983,-0.2747,0.6861,29.7352,-97.6571,-97.5686,9896.6887,12.8606,-5.017,0.2677,1.3396,1.5196,13.4093,0,2072,37.3978,13.2084
2,3,1.5,0,2,0.5,2983,-0.2747,0.6861,29.7352,-97.6571,-97.5686,9896.6887,12.8606,-5.017,0.2677,1.3396,1.5196,13.4093,0,2072,37.3978,13.2084
2,3,1.5,0,3,0,2833,-0.2765,0.6886,27.0385,-97.3169,-97.2188,9612.6046,14.1564,-4.306,0.2726,1.3023,1.4432,13.9075,0,2321,37.3978,13.2084
2,3,1.5,0,3,0.5,2833,-0.2765,0.6886,27.0385,-97.3169,-97.2188,9612.6046,14.1564,-4.306,0.2726,1.3023,1.4432,13.9075,0,2321,37.3978,13.2084
2,3,1.5,0.1,1.5,0,2947,-0.2624,0.6731,33.9667,-97.4685,-97.3347,9746.3417,12.2169,-5.433,0.2522,1.3860,1.5013,12.0461,0,1762,37.3978,13.2084
2,3,1.5,0.1,1.5,0.5,2947,-0.2624,0.6731,33.9667,-97.4685,-97.3347,9746.3417,12.2169,-5.433,0.2522,1.3860,1.5013,12.0461,0,1762,37.3978,13.2084
2,3,1.5,0.1,2,0,2811,-0.2761,0.6877,29.3846,-97.3849,-97.2703,9644.7546,13.3228,-4.895,0.2543,1.3622,1.4320,12.1665,0,1970,37.3978,13.2084
2,3,1.5,0.1,2,0.5,2811,-0.2761,0.6877,29.3846,-97.3849,-97.2703,9644.7546,13.3228,-4.895,0.2543,1.3622,1.4320,12.1665,0,1970,37.3978,13.2084
2,3,1.5,0.1,3,0,2668,-0.2676,0.7032,26.7241,-96.4817,-96.3436,9785.3638,14.6737,-3.987,0.2584,1.3362,1.3591,12.5937,0,2205,37.3978,13.2084
2,3,1.5,0.1,3,0.5,2668,-0.2676,0.7032,26.7241,-96.4817,-96.3436,9785.3638,14.6737,-3.987,0.2584,1.3362,1.3591,12.5937,0,2205,37.3978,13.2084
2,3,2,0,1.5,0,2330,-0.2346,0.6285,31.6738,-92.6180,-92.4857,7634.6962,10.8181,-4.774,0.2127,1.6943,1.1870,6.4378,0,1549,37.6555,10.0988
2,3,2,0,1.5,0.5,2330,-0.2346,0.6285,31.6738,-92.6180,-92.4857,7634.6962,10.8181,-4.774,0.2127,1.6943,1.1870,6.4378,0,1549,37.6555,10.0988
2,3,2,0,2,0,2226,-0.2174,0.6696,29.0207,-90.1120,-89.8233,8073.4445,11.7422,-3.75,0.2147,1.6604,1.1340,6.5139,0,1715,37.6555,10.0988
2,3,2,0,2,0.5,2226,-0.2174,0.6696,29.0207,-90.1120,-89.8233,8073.4445,11.7422,-3.75,0.2147,1.6604,1.1340,6.5139,0,1715,37.6555,10.0988
2,3,2,0,3,0,2120,-0.2101,0.6903,27.0755,-88.2584,-87.8216,8322.2988,12.7760,-3.082,0.2191,1.6252,1.0800,6.7925,0,1883,37.6555,10.0988
2,3,2,0,3,0.5,2120,-0.2101,0.6903,27.0755,-88.2584,-87.8216,8322.2988,12.7760,-3.082,0.2191,1.6252,1.0800,6.7925,0,1883,37.6555,10.0988
2,3,2,0.1,1.5,0,2224,-0.2243,0.6380,32.0144,-91.4031,-91.1436,7466.8604,11.1368,-4.478,0.2004,1.7216,1.1330,5.8453,0,1449,37.6555,10.0988
2,3,2,0.1,1.5,0.5,2224,-0.2243,0.6380,32.0144,-91.4031,-91.1436,7466.8604,11.1368,-4.478,0.2004,1.7216,1.1330,5.8453,0,1449,37.6555,10.0988
2,3,2,0.1,2,0,2110,-0.2097,0.6717,29.4787,-88.6375,-88.3048,7751.2840,12.0071,-3.569,0.2026,1.6944,1.0749,5.9716,0,1626,37.6555,10.0988
2,3,2,0.1,2,0.5,2110,-0.2097,0.6717,29.4787,-88.6375,-88.3048,7751.2840,12.0071,-3.569,0.2026,1.6944,1.0749,5.9716,0,1626,37.6555,10.0988
2,3,2,0.1,3,0,2009,-0.1988,0.7114,27.4266,-86.1911,-85.5600,8477.8416,13.1234,-2.844,0.2059,1.6624,1.0234,6.1722,0,1776,37.6555,10.0988
2,3,2,0.1,3,0.5,2009,-0.1988,0.7114,27.4266,-86.1911,-85.5600,8477.8416,13.1234,-2.844,0.2059,1.6624,1.0234,6.1722,0,1776,37.6555,10.0988
2,3,3,0,1.5,0,1377,-0.1409,0.7052,32.1714,-62.8793,-62.4591,5621.3948,10.2322,-2.426,0.1417,2.4942,0.7015,1.7429,0,1231,38.3182,5.3775
2,3,3,0,1.5,0.5,1377,-0.1409,0.7052,32.1714,-62.8793,-62.4591,5621.3948,10.2322,-2.426,0.1417,2.4942,0.7015,1.7429,0,1231,38.3182,5.3775
2,3,3,0,2,0,1308,-0.1178,0.7541,30.8104,-54.9714,-54.0597,5785.9289,10.7266,-1.728,0.1440,2.4277,0.6663,1.8349,0,1325,38.3182,5.3775
2,3,3,0,2,0.5,1308,-0.1178,0.7541,30.8104,-54.9714,-54.0597,5785.9289,10.7266,-1.728,0.1440,2.4277,0.6663,1.8349,0,1325,38.3182,5.3775
2,3,3,0,3,0,1236,-0.1254,0.7451,29.6117,-55.5760,-54.3796,5533.2311,11.3732,-1.614,0.1474,2.3225,0.6296,1.9417,0,1427,38.3182,5.3775
2,3,3,0,3,0.5,1236,-0.1254,0.7451,29.6117,-55.5760,-54.3796,5533.2311,11.3732,-1.614,0.1474,2.3225,0.6296,1.9417,0,1427,38.3182,5.3775
2,3,3,0.1,1.5,0,1320,-0.1487,0.6972,32.1212,-63.4554,-62.8586,5309.8399,10.6648,-2.48,0.1390,2.5454,0.6724,1.6667,0,1155,38.3182,5.3775
2,3,3,0.1,1.5,0.5,1320,-0.1487,0.6972,32.1212,-63.4554,-62.8586,5309.8399,10.6648,-2.48,0.1390,2.5454,0.6724,1.6667,0,1155,38.3182,5.3775
2,3,3,0.1,2,0,1250,-0.1303,0.7363,30.8800,-56.9341,-55.9711,5358.0084,11.1308,-1.86,0.1418,2.4670,0.6368,1.7600,0,1252,38.3182,5.3775
2,3,3,0.1,2,0.5,1250,-0.1303,0.7363,30.8800,-56.9341,-55.9711,5358.0084,11.1308,-1.86,0.1418,2.4670,0.6368,1.7600,0,1252,38.3182,5.3775
2,3,3,0.1,3,0,1184,-0.1320,0.7429,29.4764,-56.0396,-54.6749,5306.3751,11.8420,-1.651,0.1449,2.3675,0.6032,1.8581,0,1345,38.3182,5.3775
2,3,3,0.1,3,0.5,1184,-0.1320,0.7429,29.4764,-56.0396,-54.6749,5306.3751,11.8420,-1.651,0.1449,2.3675,0.6032,1.8581,0,1345,38.3182,5.3775
2,5,1.5,0,1.5,0,3164,-0.2641,0.6337,34.0392,-97.9327,-97.8654,9005.0662,12.1885,-5.772,0.2650,1.3489,1.6118,13.5588,0,1962,36.2026,9.3428
2,5,1.5,0,1.5,0.5,3164,-0.2641,0.6337,34.0392,-97.9327,-97.8654,9005.0662,12.1885,-5.772,0.2650,1.3489,1.6118,13.5588,0,1962,36.2026,9.3428
2,5,1.5,0,2,0,3031,-0.2536,0.6804,30.3860,-97.0884,-97.0055,10038.6047,13.2544,-4.762,0.2671,1.3336,1.5441,13.6919,0,2157,36.2026,9.3428
2,5,1.5,0,2,0.5,3031,-0.2536,0.6804,30.3860,-97.0884,-97.0055,10038.6047,13.2544,-4.762,0.2671,1.3336,1.5441,13.6919,0,2157,36.2026,9.3428
2,5,1.5,0,3,0,2869,-0.2528,0.6999,27.5009,-96.4454,-96.3334,10251.2015,14.6870,-3.932,0.2717,1.3053,1.4615,14.1513,0,2422,36.2026,9.3428
2,5,1.5,0,3,0.5,2869,-0.2528,0.6999,27.5009,-96.4454,-96.3334,10251.2015,14.6870,-3.932,0.2717,1.3053,1.4615,14.1513,0,2422,36.2026,9.3428
2,5,1.5,0.1,1.5,0,3002,-0.2536,0.6499,33.9440,-97.3805,-97.2551,9179.1419,12.5182,-5.444,0.2516,1.3775,1.5293,12.0586,0,1828,36.2026,9.3428
2,5,1.5,0.1,1.5,0.5,3002,-0.2536,0.6499,33.9440,-97.3805,-97.2551,9179.1419,12.5182,-5.444,0.2516,1.3775,1.5293,12.0586,0,1828,36.2026,9.3428
2,5,1.5,0.1,2,0,2863,-0.2549,0.6735,29.8987,-96.7960,-96.7048,9464.4847,13.6176,-4.713,0.2536,1.3603,1.4585,12.2948,0,2036,36.2026,9.3428
2,5,1.5,0.1,2,0.5,2863,-0.2549,0.6735,29.8987,-96.7960,-96.7048,9464.4847,13.6176,-4.713,0.2536,1.3603,1.4585,12.2948,0,2036,36.2026,9.3428
2,5,1.5,0.1,3,0,2706,-0.2431,0.7057,27.1249,-95.4273,-95.2783,10138.7778,15.0466,-3.676,0.2577,1.3395,1.3785,12.7125,0,2279,36.2026,9.3428
2,5,1.5,0.1,3,0.5,2706,-0.2431,0.7057,27.1249,-95.4273,-95.2783,10138.7778,15.0466,-3.676,0.2577,1.3395,1.3785,12.7125,0,2279,36.2026,9.3428
2,5,2,0,1.5,0,2329,-0.2223,0.6348,32.2456,-91.5446,-91.4322,7806.9074,11.0004,-4.4,0.2130,1.6733,1.1864,6.3976,0,1562,37.8458,8.3265
2,5,2,0,1.5,0.5,2329,-0.2223,0.6348,32.2456,-91.5446,-91.4322,7806.9074,11.0004,-4.4,0.2130,1.6733,1.1864,6.3976,0,1562,37.8458,8.3265
2,5,2,0,2,0,2223,-0.1971,0.6891,29.9595,-87.4555,-87.3159,8590.3016,11.7587,-3.294,0.2153,1.6464,1.1325,6.5227,0,1723,37.8458,8.3265
2,5,2,0,2,0.5,2223,-0.1971,0.6891,29.9595,-87.4555,-87.3159,8590.3016,11.7587,-3.294,0.2153,1.6464,1.1325,6.5227,0,1723,37.8458,8.3265
2,5,2,0,3,0,2119,-0.1880,0.7376,27.7489,-84.8765,-84.6543,9759.9822,12.8349,-2.645,0.2193,1.6189,1.0795,6.7485,0,1881,37.8458,8.3265
2,5,2,0,3,0.5,2119,-0.1880,0.7376,27.7489,-84.8765,-84.6543,9759.9822,12.8349,-2.645,0.2193,1.6189,1.0795,6.7485,0,1881,37.8458,8.3265
2,5,2,0.1,1.5,0,2225,-0.2112,0.6477,32.7640,-90.1424,-89.9503,7751.4196,11.2942,-4.13,0.2000,1.7072,1.1335,5.5730,0,1467,37.8458,8.3265
2,5,2,0.1,1.5,0.5,2225,-0.2112,0.6477,32.7640,-90.1424,-89.9503,7751.4196,11.2942,-4.13,0.2000,1.7072,1.1335,5.5730,0,1467,37.8458,8.3265
2,5,2,0.1,2,0,2115,-0.1900,0.6971,30.4492,-86.1561,-85.9183,8426.9556,12.0526,-3.173,0.2019,1.6924,1.0774,5.6265,0,1638,37.8458,8.3265
2,5,2,0.1,2,0.5,2115,-0.1900,0.6971,30.4492,-86.1561,-85.9183,8426.9556,12.0526,-3.173,0.2019,1.6924,1.0774,5.6265,0,1638,37.8458,8.3265
2,5,2,0.1,3,0,2016,-0.1817,0.7460,28.0754,-83.5888,-83.2406,9637.5529,13.1364,-2.535,0.2054,1.6639,1.0270,5.8532,0,1782,37.8458,8.3265
2,5,2,0.1,3,0.5,2016,-0.1817,0.7460,28.0754,-83.5888,-83.2406,9637.5529,13.1364,-2.535,0.2054,1.6639,1.0270,5.8532,0,1782,37.8458,8.3265
2,5,3,0,1.5,0,1341,-0.1499,0.7038,32.1402,-61.9662,-61.6150,5579.6313,10.0230,-2.398,0.1504,2.4662,0.6831,1.8643,0,1198,39.0048,5.1029
2,5,3,0,1.5,0.5,1341,-0.1499,0.7038,32.1402,-61.9662,-61.6150,5579.6313,10.0230,-2.398,0.1504,2.4662,0.6831,1.8643,0,1198,39.0048,5.1029
2,5,3,0,2,0,1272,-0.1242,0.7568,30.8962,-53.3067,-52.5787,5787.4903,10.6020,-1.672,0.1532,2.4014,0.6480,1.9654,0,1295,39.0048,5.1029
2,5,3,0,2,0.5,1272,-0.1242,0.7568,30.8962,-53.3067,-52.5787,5787.4903,10.6020,-1.672,0.1532,2.4014,0.6480,1.9654,0,1295,39.0048,5.1029
2,5,3,0,3,0,1208,-0.1372,0.7386,29.4702,-55.1786,-54.5282,5448.2251,11.2729,-1.655,0.1562,2.3105,0.6154,2.0695,0,1394,39.0048,5.1029
2,5,3,0,3,0.5,1208,-0.1372,0.7386,29.4702,-55.1786,-54.5282,5448.2251,11.2729,-1.655,0.1562,2.3105,0.6154,2.0695,0,1394,39.0048,5.1029
2,5,3,0.1,1.5,0,1280,-0.1514,0.7125,32.4219,-60.7485,-60.1968,5457.3133,10.4409,-2.326,0.1480,2.5039,0.6521,1.7969,0,1128,39.0048,5.1029
2,5,3,0.1,1.5,0.5,1280,-0.1514,0.7125,32.4219,-60.7485,-60.1968,5457.3133,10.4409,-2.326,0.1480,2.5039,0.6521,1.7969,0,1128,39.0048,5.1029
2,5,3,0.1,2,0,1212,-0.1348,0.7437,31.1056,-54.4890,-53.7795,5402.8355,11.0809,-1.766,0.1510,2.4324,0.6174,1.8977,0,1232,39.0048,5.1029
2,5,3,0.1,2,0.5,1212,-0.1348,0.7437,31.1056,-54.4890,-53.7795,5402.8355,11.0809,-1.766,0.1510,2.4324,0.6174,1.8977,0,1232,39.0048,5.1029
2,5,3,0.1,3,0,1151,-0.1350,0.7548,29.6264,-53.0067,-52.1325,5378.3651,11.7834,-1.562,0.1538,2.3477,0.5863,1.9983,0,1324,39.0048,5.1029
2,5,3,0.1,3,0.5,1151,-0.1350,0.7548,29.6264,-53.0067,-52.1325,5378.3651,11.7834,-1.562,0.1538,2.3477,0.5863,1.9983,0,1324,39.0048,5.1029
2,8,1.5,0,1.5,0,2991,-0.2955,0.5902,32.9321,-98.4014,-98.3779,7938.6338,11.8036,-6.215,0.2619,1.3442,1.5237,13.5072,0,1825,38.8712,6.3403
2,8,1.5,0,1.5,0.5,2991,-0.2955,0.5902,32.9321,-98.4014,-98.3779,7938.6338,11.8036,-6.215,0.2619,1.3442,1.5237,13.5072,0,1825,38.8712,6.3403
2,8,1.5,0,2,0,2882,-0.2974,0.6230,29.0770,-98.1362,-98.1131,8336.8703,12.8425,-5.373,0.2637,1.3285,1.4682,13.5323,0,1992,38.8712,6.3403
2,8,1.5,0,2,0.5,2882,-0.2974,0.6230,29.0770,-98.1362,-98.1131,8336.8703,12.8425,-5.373,0.2637,1.3285,1.4682,13.5323,0,1992,38.8712,6.3403
2,8,1.5,0,3,0,2725,-0.2982,0.6333,26.7156,-97.6909,-97.6551,8291.2500,14.0351,-4.505,0.2689,1.3000,1.3882,14.1651,0,2232,38.8712,6.3403
2,8,1.5,0,3,0.5,2725,-0.2982,0.6333,26.7156,-97.6909,-97.6551,8291.2500,14.0351,-4.505,0.2689,1.3000,1.3882,14.1651,0,2232,38.8712,6.3403
2,8,1.5,0.1,1.5,0,2844,-0.2820,0.6235,33.0872,-97.8223,-97.7129,8488.0831,11.9715,-5.744,0.2528,1.3776,1.4488,12.1660,0,1682,38.8712,6.3403
2,8,1.5,0.1,1.5,0.5,2844,-0.2820,0.6235,33.0872,-97.8223,-97.7129,8488.0831,11.9715,-5.744,0.2528,1.3776,1.4488,12.1660,0,1682,38.8712,6.3403
2,8,1.5,0.1,2,0,2713,-0.2932,0.6392,28.8242,-97.6813,-97.6003,8505.5887,13.1135,-5.077,0.2553,1.3576,1.3821,12.2742,0,1875,38.8712,6.3403
2,8,1.5,0.1,2,0.5,2713,-0.2932,0.6392,28.8242,-97.6813,-97.6003,8505.5887,13.1135,-5.077,0.2553,1.3576,1.3821,12.2742,0,1875,38.8712,6.3403
2,8,1.5,0.1,3,0,2554,-0.2822,0.6622,26.3900,-96.6316,-96.4971,8790.7236,14.3749,-4.018,0.2599,1.3324,1.3011,12.8818,0,2109,38.8712,6.3403
2,8,1.5,0.1,3,0.5,2554,-0.2822,0.6622,26.3900,-96.6316,-96.4971,8790.7236,14.3749,-4.018,0.2599,1.3324,1.3011,12.8818,0,2109,38.8712,6.3403
2,8,2,0,1.5,0,2235,-0.2253,0.6155,32.0805,-91.5798,-91.1549,7346.2580,10.6554,-4.392,0.2092,1.6648,1.1386,6.5772,0,1456,39.5277,6.1620
2,8,2,0,1.5,0.5,2235,-0.2253,0.6155,32.0805,-91.5798,-91.1549,7346.2580,10.6554,-4.392,0.2092,1.6648,1.1386,6.5772,0,1456,39.5277,6.1620
2,8,2,0,2,0,2138,-0.2179,0.6478,29.4200,-89.8997,-89.3289,7673.1726,11.5117,-3.698,0.2113,1.6404,1.0891,6.7820,0,1606,39.5277,6.1620
2,8,2,0,2,0.5,2138,-0.2179,0.6478,29.4200,-89.8997,-89.3289,7673.1726,11.5117,-3.698,0.2113,1.6404,1.0891,6.7820,0,1606,39.5277,6.1620
2,8,2,0,3,0,2038,-0.2191,0.6757,27.6251,-88.8302,-88.2931,8164.9331,12.5082,-3.214,0.2151,1.6178,1.0382,7.0658,0,1752,39.5277,6.1620
2,8,2,0,3,0.5,2038,-0.2191,0.6757,27.6251,-88.8302,-88.2931,8164.9331,12.5082,-3.214,0.2151,1.6178,1.0382,7.0658,0,1752,39.5277,6.1620
