n_5m,n_1h,atr_mult,buffer,r_target,min_stop_atr,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,skipped_min_stop,ignored_in_position,pct_time_neutral_1h,h1_state_changes_per_week
2,3,1.5,0,1.5,0,2171,-0.6211,0.4075,29.9862,-98.1848,-98.1782,9751.1167,11.8871,-9.983,0.6225,0.5823,1.6238,57.8535,0,1360,38.0290,12.9948
2,3,1.5,0,1.5,0.5,2171,-0.6211,0.4075,29.9862,-98.1848,-98.1782,9751.1167,11.8871,-9.983,0.6225,0.5823,1.6238,57.8535,0,1360,38.0290,12.9948
2,3,1.5,0,2,0,2086,-0.6362,0.4376,25.6951,-98.0686,-98.0635,9729.4257,12.9779,-9.2,0.6288,0.5735,1.5602,58.4851,0,1513,38.0290,12.9948
2,3,1.5,0,2,0.5,2086,-0.6362,0.4376,25.6951,-98.0686,-98.0635,9729.4257,12.9779,-9.2,0.6288,0.5735,1.5602,58.4851,0,1513,38.0290,12.9948
2,3,1.5,0,3,0,1996,-0.6435,0.4507,22.0441,-97.7840,-97.7633,9540.2623,14.1212,-8.177,0.6392,0.5559,1.4929,59.9198,0,1669,38.0290,12.9948
2,3,1.5,0,3,0.5,1996,-0.6435,0.4507,22.0441,-97.7840,-97.7633,9540.2623,14.1212,-8.177,0.6392,0.5559,1.4929,59.9198,0,1669,38.0290,12.9948
2,3,1.5,0.1,1.5,0,2057,-0.6013,0.4293,30.8702,-97.5985,-97.5930,9831.0452,12.2606,-9.194,0.6002,0.5977,1.5385,56.1011,0,1274,38.0290,12.9948
2,3,1.5,0.1,1.5,0.5,2057,-0.6013,0.4293,30.8702,-97.5985,-97.5930,9831.0452,12.2606,-9.194,0.6002,0.5977,1.5385,56.1011,0,1274,38.0290,12.9948
2,3,1.5,0.1,2,0,1981,-0.6189,0.4537,25.9970,-97.5582,-97.5525,9652.0617,13.1898,-8.496,0.6077,0.5866,1.4817,56.7390,0,1400,38.0290,12.9948
2,3,1.5,0.1,2,0.5,1981,-0.6189,0.4537,25.9970,-97.5582,-97.5525,9652.0617,13.1898,-8.496,0.6077,0.5866,1.4817,56.7390,0,1400,38.0290,12.9948
2,3,1.5,0.1,3,0,1890,-0.6397,0.4448,21.7989,-97.4108,-97.3930,9064.5315,14.3936,-7.972,0.6174,0.5695,1.4136,57.9894,0,1556,38.0290,12.9948
2,3,1.5,0.1,3,0.5,1890,-0.6397,0.4448,21.7989,-97.4108,-97.3930,9064.5315,14.3936,-7.972,0.6174,0.5695,1.4136,57.9894,0,1556,38.0290,12.9948
2,3,2,0,1.5,0,1699,-0.5394,0.4309,29.0171,-95.8705,-95.7625,8846.4004,10.9576,-8.916,0.5042,0.7056,1.2708,46.4391,0,1211,37.5242,9.9948
2,3,2,0,1.5,0.5,1699,-0.5394,0.4309,29.0171,-95.8705,-95.7625,8846.4004,10.9576,-8.916,0.5042,0.7056,1.2708,46.4391,0,1211,37.5242,9.9948
2,3,2,0,2,0,1635,-0.5447,0.4569,25.0765,-95.4706,-95.3256,8841.5473,11.7321,-8.098,0.5104,0.6872,1.2229,47.4618,0,1310,37.5242,9.9948
2,3,2,0,2,0.5,1635,-0.5447,0.4569,25.0765,-95.4706,-95.3256,8841.5473,11.7321,-8.098,0.5104,0.6872,1.2229,47.4618,0,1310,37.5242,9.9948
2,3,2,0,3,0,1560,-0.5620,0.4580,21.9872,-94.9240,-94.8933,8573.5502,12.6112,-7.344,0.5208,0.6698,1.1668,48.6538,0,1415,37.5242,9.9948
2,3,2,0,3,0.5,1560,-0.5620,0.4580,21.9872,-94.9240,-94.8933,8573.5502,12.6112,-7.344,0.5208,0.6698,1.1668,48.6538,0,1415,37.5242,9.9948
2,3,2,0.1,1.5,0,1620,-0.5270,0.4343,29.5062,-95.2041,-95.0595,8591.3438,11.1020,-8.337,0.4864,0.7265,1.2117,45.0617,0,1122,37.5242,9.9948
2,3,2,0.1,1.5,0.5,1620,-0.5270,0.4343,29.5062,-95.2041,-95.0595,8591.3438,11.1020,-8.337,0.4864,0.7265,1.2117,45.0617,0,1122,37.5242,9.9948
2,3,2,0.1,2,0,1562,-0.5354,0.4546,25.2881,-94.9039,-94.7132,8451.7789,11.8583,-7.715,0.4934,0.7066,1.1683,46.1588,0,1213,37.5242,9.9948
2,3,2,0.1,2,0.5,1562,-0.5354,0.4546,25.2881,-94.9039,-94.7132,8451.7789,11.8583,-7.715,0.4934,0.7066,1.1683,46.1588,0,1213,37.5242,9.9948
