n_5m,n_1h,atr_mult,buffer,r_target,min_stop_atr,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,skipped_min_stop,ignored_in_position,pct_time_neutral_1h,h1_state_changes_per_week
2,3,1.5,0,1.5,0,2102,-0.4530,0.4220,32.0647,-96.7406,-96.7210,8479.5667,11.4038,-7.847,0.4431,0.8066,1.5722,38.0590,0,1209,38.4529,13.3089
2,3,1.5,0,1.5,0.5,2102,-0.4530,0.4220,32.0647,-96.7406,-96.7210,8479.5667,11.4038,-7.847,0.4431,0.8066,1.5722,38.0590,0,1209,38.4529,13.3089
2,3,1.5,0,2,0,2001,-0.4565,0.4386,28.0860,-96.3958,-96.2969,8315.2671,12.3562,-7.046,0.4491,0.7872,1.4966,38.7806,0,1374,38.4529,13.3089
2,3,1.5,0,2,0.5,2001,-0.4565,0.4386,28.0860,-96.3958,-96.2969,8315.2671,12.3562,-7.046,0.4491,0.7872,1.4966,38.7806,0,1374,38.4529,13.3089
2,3,1.5,0,3,0,1904,-0.4585,0.4538,24.8424,-95.7556,-95.5565,8188.6894,13.4942,-5.985,0.4577,0.7650,1.4241,39.9160,0,1533,38.4529,13.3089
2,3,1.5,0,3,0.5,1904,-0.4585,0.4538,24.8424,-95.7556,-95.5565,8188.6894,13.4942,-5.985,0.4577,0.7650,1.4241,39.9160,0,1533,38.4529,13.3089
2,3,1.5,0.1,1.5,0,2006,-0.4459,0.4200,32.5523,-96.2765,-96.2598,8204.6460,11.4949,-7.791,0.4298,0.8251,1.5004,36.4407,0,1109,38.4529,13.3089
2,3,1.5,0.1,1.5,0.5,2006,-0.4459,0.4200,32.5523,-96.2765,-96.2598,8204.6460,11.4949,-7.791,0.4298,0.8251,1.5004,36.4407,0,1109,38.4529,13.3089
2,3,1.5,0.1,2,0,1909,-0.4516,0.4424,28.3394,-95.9616,-95.8936,8127.7536,12.3465,-7.025,0.4365,0.8007,1.4278,37.2970,0,1254,38.4529,13.3089
2,3,1.5,0.1,2,0.5,1909,-0.4516,0.4424,28.3394,-95.9616,-95.8936,8127.7536,12.3465,-7.025,0.4365,0.8007,1.4278,37.2970,0,1254,38.4529,13.3089
2,3,1.5,0.1,3,0,1814,-0.4593,0.4576,24.8071,-95.3612,-95.2751,7996.1109,13.5407,-6.019,0.4448,0.7807,1.3568,38.4785,0,1404,38.4529,13.3089
2,3,1.5,0.1,3,0.5,1814,-0.4593,0.4576,24.8071,-95.3612,-95.2751,7996.1109,13.5407,-6.019,0.4448,0.7807,1.3568,38.4785,0,1404,38.4529,13.3089
2,3,2,0,1.5,0,1649,-0.3572,0.4807,32.9290,-89.4959,-89.4826,8133.0454,10.3873,-5.918,0.3683,0.9891,1.2334,27.7744,0,1053,37.9262,10.2147
2,3,2,0,1.5,0.5,1649,-0.3572,0.4807,32.9290,-89.4959,-89.4826,8133.0454,10.3873,-5.918,0.3683,0.9891,1.2334,27.7744,0,1053,37.9262,10.2147
2,3,2,0,2,0,1582,-0.3779,0.4981,28.5714,-89.8523,-89.8281,8082.6575,11.1519,-5.664,0.3744,0.9650,1.1832,28.6346,0,1152,37.9262,10.2147
2,3,2,0,2,0.5,1582,-0.3779,0.4981,28.5714,-89.8523,-89.8281,8082.6575,11.1519,-5.664,0.3744,0.9650,1.1832,28.6346,0,1152,37.9262,10.2147
2,3,2,0,3,0,1515,-0.3703,0.5231,26.6667,-88.2391,-88.1930,8148.3444,12.4029,-4.725,0.3798,0.9433,1.1331,29.2409,0,1272,37.9262,10.2147
2,3,2,0,3,0.5,1515,-0.3703,0.5231,26.6667,-88.2391,-88.1930,8148.3444,12.4029,-4.725,0.3798,0.9433,1.1331,29.2409,0,1272,37.9262,10.2147
2,3,2,0.1,1.5,0,1575,-0.3438,0.4862,33.4603,-87.8513,-87.8359,7803.5372,10.6885,-5.63,0.3565,1.0160,1.1780,26.3492,0,983,37.9262,10.2147
2,3,2,0.1,1.5,0.5,1575,-0.3438,0.4862,33.4603,-87.8513,-87.8359,7803.5372,10.6885,-5.63,0.3565,1.0160,1.1780,26.3492,0,983,37.9262,10.2147
2,3,2,0.1,2,0,1510,-0.3719,0.4970,28.6755,-89.1167,-89.0828,7773.1792,11.5778,-5.59,0.3624,0.9924,1.1294,27.2185,0,1083,37.9262,10.2147
2,3,2,0.1,2,0.5,1510,-0.3719,0.4970,28.6755,-89.1167,-89.0828,7773.1792,11.5778,-5.59,0.3624,0.9924,1.1294,27.2185,0,1083,37.9262,10.2147
2,3,2,0.1,3,0,1441,-0.3714,0.5224,26.1624,-88.0019,-87.9171,7879.9719,12.6766,-4.767,0.3683,0.9663,1.0778,27.9667,0,1196,37.9262,10.2147
2,3,2,0.1,3,0.5,1441,-0.3714,0.5224,26.1624,-88.0019,-87.9171,7879.9719,12.6766,-4.767,0.3683,0.9663,1.0778,27.9667,0,1196,37.9262,10.2147
2,3,3,0,1.5,0,1040,-0.2549,0.5715,31.4423,-68.1668,-68.1668,6502.4537,9.8977,-3.895,0.2614,1.4129,0.7779,12.0192,0,829,36.0812,5.8691
2,3,3,0,1.5,0.5,1040,-0.2549,0.5715,31.4423,-68.1668,-68.1668,6502.4537,9.8977,-3.895,0.2614,1.4129,0.7779,12.0192,0,829,36.0812,5.8691
2,3,3,0,2,0,997,-0.2627,0.5774,28.0843,-67.2735,-67.2735,6309.6326,10.4935,-3.467,0.2646,1.3979,0.7457,12.2367,0,880,36.0812,5.8691
2,3,3,0,2,0.5,997,-0.2627,0.5774,28.0843,-67.2735,-67.2735,6309.6326,10.4935,-3.467,0.2646,1.3979,0.7457,12.2367,0,880,36.0812,5.8691
2,3,3,0,3,0,940,-0.2427,0.6210,27.2340,-62.6831,-61.3103,6287.1863,11.0028,-2.637,0.2717,1.3253,0.7031,12.8723,0,955,36.0812,5.8691
