context,n_5m,detector,atr_mult,buffer,r_target,min_stop_atr,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,skipped_min_stop,ignored_in_position,pct_time_neutral_context,context_state_changes_per_week
1h_n8,2,fractal,-,0,1.5,0,10032,-2.3854,0.2635,19.2484,-100.0000,-100.0000,7322.0777,5.0530,-20.46,2.3547,0.2230,5.1105,91.2580,0,1394,38.3090,6.5792
1h_n8,2,fractal,-,0,1.5,0.3,8076,-1.6461,0.2808,23.2169,-100.0000,-100.0000,7291.0400,5.0133,-17.989,1.6358,0.2600,4.1141,89.2769,1961,1390,38.3090,6.5792
1h_n8,2,fractal,-,0,1.5,0.5,5822,-1.3052,0.3012,27.9973,-99.9996,-99.9996,7507.2940,4.7702,-14.694,1.3088,0.3091,2.9659,85.5033,4218,1376,38.3090,6.5792
1h_n8,2,fractal,-,0,2,0,9879,-2.3445,0.3220,20.1437,-100.0000,-100.0000,7686.7572,6.5391,-18.868,2.3491,0.2237,5.0326,91.2238,0,1935,38.3090,6.5792
1h_n8,2,fractal,-,0,2,0.3,7962,-1.6219,0.3366,23.9136,-100.0000,-100.0000,7580.0274,6.4764,-16.503,1.6359,0.2608,4.0560,89.2238,1922,1929,38.3090,6.5792
1h_n8,2,fractal,-,0,2,0.5,5745,-1.2829,0.3631,27.1715,-99.9995,-99.9995,7941.4971,6.1134,-13.422,1.3101,0.3099,2.9266,85.4308,4146,1892,38.3090,6.5792
1h_n8,2,fractal,-,0,3,0,9603,-2.2980,0.3600,19.0357,-100.0000,-100.0000,7635.3015,9.0182,-17.274,2.3341,0.2257,4.8920,91.0549,0,2796,38.3090,6.5792
1h_n8,2,fractal,-,0,3,0.3,7753,-1.5992,0.3686,21.5658,-100.0000,-100.0000,7400.4415,8.9043,-15.047,1.6282,0.2628,3.9496,89.0365,1856,2785,38.3090,6.5792
1h_n8,2,fractal,-,0,3,0.5,5606,-1.2627,0.3937,23.0646,-99.9994,-99.9994,7685.6097,8.3257,-12.132,1.3023,0.3122,2.8558,85.2123,4015,2689,38.3090,6.5792
1h_n8,2,fractal,-,0.1,1.5,0,12069,-2.9264,0.2503,17.6071,-100.0000,-100.0000,7338.9893,5.3630,-22.324,2.8906,0.2042,6.1482,92.3026,0,1804,38.3090,6.5792
1h_n8,2,fractal,-,0.1,1.5,0.3,8854,-1.6739,0.2795,23.0517,-100.0000,-100.0000,7248.5354,5.3068,-18.597,1.6641,0.2548,4.5104,89.6996,3222,1796,38.3090,6.5792
1h_n8,2,fractal,-,0.1,1.5,0.5,6191,-1.3099,0.2938,28.0892,-99.9998,-99.9998,7333.1939,5.0248,-15.021,1.3117,0.3069,3.1538,85.8020,5888,1780,38.3090,6.5792
1h_n8,2,fractal,-,0.1,2,0,11866,-2.8802,0.3067,18.6921,-100.0000,-100.0000,7660.8944,6.9600,-20.687,2.8836,0.2049,6.0448,92.2636,0,2506,38.3090,6.5792
1h_n8,2,fractal,-,0.1,2,0.3,8713,-1.6460,0.3394,23.9986,-100.0000,-100.0000,7574.6388,6.8696,-17.017,1.6630,0.2558,4.4386,89.6362,3160,2495,38.3090,6.5792
1h_n8,2,fractal,-,0.1,2,0.5,6102,-1.2851,0.3568,27.4009,-99.9998,-99.9998,7736.3706,6.4507,-13.673,1.3126,0.3079,3.1085,85.7260,5778,2447,38.3090,6.5792
1h_n8,2,fractal,-,0.1,3,0,11489,-2.8218,0.3591,17.7996,-100.0000,-100.0000,7850.8091,9.7184,-18.894,2.8643,0.2070,5.8528,92.1055,0,3698,38.3090,6.5792
1h_n8,2,fractal,-,0.1,3,0.3,8453,-1.6233,0.3833,21.6018,-100.0000,-100.0000,7576.4516,9.5534,-15.399,1.6549,0.2581,4.3062,89.4475,3045,3675,38.3090,6.5792
1h_n8,2,fractal,-,0.1,3,0.5,5933,-1.2627,0.3931,23.2429,-99.9996,-99.9996,7582.8544,8.8757,-12.198,1.3047,0.3104,3.0224,85.5048,5584,3527,38.3090,6.5792
1h_n8,2,atr,1.5,0,1.5,0,9022,-2.3281,0.2774,19.6076,-100.0000,-100.0000,7508.1041,4.9175,-19.354,2.2889,0.2293,4.5960,90.7005,0,1062,38.4604,6.5008
1h_n8,2,atr,1.5,0,1.5,0.3,7336,-1.6182,0.3002,23.4460,-100.0000,-100.0000,7588.7504,4.8850,-17.168,1.5928,0.2656,3.7371,88.6996,1688,1060,38.4604,6.5008
1h_n8,2,atr,1.5,0,1.5,0.5,5398,-1.2843,0.3224,27.7695,-99.9993,-99.9993,7786.4364,4.6881,-14.204,1.2689,0.3125,2.7499,85.0130,3629,1057,38.4604,6.5008
1h_n8,2,atr,1.5,0,2,0,8921,-2.2938,0.3287,20.1771,-100.0000,-100.0000,7705.7424,6.2981,-17.922,2.2841,0.2299,4.5446,90.6625,0,1462,38.4604,6.5008
1h_n8,2,atr,1.5,0,2,0.3,7258,-1.5963,0.3511,23.7807,-100.0000,-100.0000,7754.4484,6.2413,-15.79,1.5894,0.2663,3.6974,88.6608,1665,1458,38.4604,6.5008
1h_n8,2,atr,1.5,0,2,0.5,5342,-1.2726,0.3819,26.7690,-99.9992,-99.9992,8109.3849,5.9432,-13.036,1.2690,0.3133,2.7213,84.9682,3585,1450,38.4604,6.5008
1h_n8,2,atr,1.5,0,3,0,8704,-2.2495,0.3834,18.8764,-100.0000,-100.0000,7912.6092,8.6284,-16.304,2.2711,0.2314,4.4340,90.5216,0,2182,38.4604,6.5008
1h_n8,2,atr,1.5,0,3,0.3,7089,-1.5761,0.4020,21.2442,-100.0000,-100.0000,7853.7704,8.5276,-14.352,1.5849,0.2679,3.6113,88.5033,1617,2174,38.4604,6.5008
1h_n8,2,atr,1.5,0,3,0.5,5222,-1.2541,0.4210,22.5010,-99.9990,-99.9990,7962.1809,8.0258,-11.803,1.2638,0.3150,2.6602,84.7759,3489,2139,38.4604,6.5008
1h_n8,2,atr,1.5,0.1,1.5,0,10833,-2.8542,0.2683,18.0375,-100.0000,-100.0000,7552.8919,5.2198,-21.157,2.8113,0.2106,5.5186,91.7567,0,1383,38.4604,6.5008
1h_n8,2,atr,1.5,0.1,1.5,0.3,8053,-1.6466,0.3051,23.3205,-100.0000,-100.0000,7647.1845,5.1755,-17.765,1.6243,0.2604,4.1024,89.1221,2783,1380,38.4604,6.5008
1h_n8,2,atr,1.5,0.1,1.5,0.5,5742,-1.2858,0.3212,27.9693,-99.9997,-99.9997,7701.8407,4.9443,-14.465,1.2726,0.3106,2.9251,85.2839,5097,1376,38.4604,6.5008
1h_n8,2,atr,1.5,0.1,2,0,10701,-2.8126,0.3185,18.7272,-100.0000,-100.0000,7756.1314,6.7048,-19.631,2.8038,0.2113,5.4513,91.7111,0,1898,38.4604,6.5008
1h_n8,2,atr,1.5,0.1,2,0.3,7957,-1.6181,0.3618,23.8532,-100.0000,-100.0000,7911.6822,6.6262,-16.264,1.6179,0.2613,4.0535,89.0662,2746,1892,38.4604,6.5008
1h_n8,2,atr,1.5,0.1,2,0.5,5679,-1.2713,0.3822,27.0470,-99.9996,-99.9996,8034.7438,6.2793,-13.213,1.2719,0.3115,2.8930,85.2263,5028,1881,38.4604,6.5008
1h_n8,2,atr,1.5,0.1,3,0,10411,-2.7566,0.3917,17.7793,-100.0000,-100.0000,8308.0563,9.2977,-17.776,2.7900,0.2128,5.3036,91.5858,0,2888,38.4604,6.5008
