context,n_5m,detector,atr_mult,buffer,r_target,min_stop_atr,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,skipped_min_stop,ignored_in_position,pct_time_neutral_context,context_state_changes_per_week
1h_n8,2,fractal,-,0,1.5,0,9610,-2.1207,0.2468,22.0812,-100.0000,-100.0000,6023.8759,4.4038,-19.692,2.0707,0.2732,4.8956,87.3985,0,1266,38.5878,6.3617
1h_n8,2,fractal,-,0,1.5,0.3,7531,-1.3179,0.2778,27.2208,-100.0000,-100.0000,6104.3568,4.3678,-16.753,1.2917,0.3245,3.8365,84.1323,2086,1262,38.5878,6.3617
1h_n8,2,fractal,-,0,1.5,0.5,5288,-1.0426,0.2878,31.5620,-99.9990,-99.9990,6038.1450,4.1277,-13.454,1.0200,0.3919,2.6938,78.4607,4332,1236,38.5878,6.3617
1h_n8,2,fractal,-,0,2,0,9481,-2.0596,0.2729,22.2761,-100.0000,-100.0000,5937.8765,5.6774,-18.139,2.0419,0.2738,4.8299,87.3009,0,1702,38.5878,6.3617
1h_n8,2,fractal,-,0,2,0.3,7422,-1.2981,0.3035,26.7179,-100.0000,-100.0000,5965.3615,5.6176,-15.283,1.2902,0.3255,3.7809,83.9935,2066,1696,38.5878,6.3617
1h_n8,2,fractal,-,0,2,0.5,5214,-1.0298,0.3172,28.8838,-99.9986,-99.9986,5930.9650,5.2727,-12.198,1.0191,0.3932,2.6561,78.2509,4276,1656,38.5878,6.3617
1h_n8,2,fractal,-,0,3,0,9249,-1.9945,0.2879,20.3806,-100.0000,-100.0000,5772.0193,7.6564,-15.803,2.0254,0.2749,4.7117,87.1770,0,2391,38.5878,6.3617
1h_n8,2,fractal,-,0,3,0.3,7248,-1.2595,0.3212,22.9719,-100.0000,-100.0000,5799.5655,7.5340,-13.188,1.2880,0.3266,3.6923,83.8576,2007,2378,38.5878,6.3617
1h_n8,2,fractal,-,0,3,0.5,5101,-1.0048,0.3344,23.6816,-99.9976,-99.9976,5774.5539,6.9802,-10.396,1.0197,0.3939,2.5986,78.1219,4166,2281,38.5878,6.3617
1h_n8,2,fractal,-,0.1,1.5,0,11425,-2.6023,0.2364,20.1663,-100.0000,-100.0000,5930.3692,4.6588,-21.462,2.5385,0.2515,5.8202,88.8403,0,1565,38.5878,6.3617
1h_n8,2,fractal,-,0.1,1.5,0.3,8227,-1.3473,0.2778,26.8506,-100.0000,-100.0000,6086.5538,4.6084,-17.48,1.3191,0.3180,4.1910,84.7697,3210,1556,38.5878,6.3617
1h_n8,2,fractal,-,0.1,1.5,0.5,5621,-1.0562,0.2835,31.2934,-99.9996,-99.9996,5911.4482,4.3351,-13.815,1.0267,0.3889,2.8635,78.8116,5819,1527,38.5878,6.3617
1h_n8,2,fractal,-,0.1,2,0,11263,-2.5458,0.2687,20.5540,-100.0000,-100.0000,5946.1257,6.0426,-19.911,2.5157,0.2520,5.7376,88.7597,0,2113,38.5878,6.3617
1h_n8,2,fractal,-,0.1,2,0.3,8104,-1.3269,0.3115,26.4684,-100.0000,-100.0000,6061.2997,5.9610,-15.98,1.3182,0.3188,4.1284,84.6496,3171,2102,38.5878,6.3617
1h_n8,2,fractal,-,0.1,2,0.5,5540,-1.0426,0.3191,28.6282,-99.9994,-99.9994,5908.9936,5.5669,-12.521,1.0264,0.3900,2.8222,78.6282,5737,2056,38.5878,6.3617
1h_n8,2,fractal,-,0.1,3,0,10967,-2.4759,0.2808,19.0754,-100.0000,-100.0000,5780.2916,8.2210,-17.553,2.5007,0.2530,5.5869,88.6386,0,3021,38.5878,6.3617
1h_n8,2,fractal,-,0.1,3,0.3,7904,-1.2895,0.3285,22.7480,-100.0000,-100.0000,5901.8603,8.0682,-13.898,1.3158,0.3198,4.0265,84.5142,3074,3002,38.5878,6.3617
1h_n8,2,fractal,-,0.1,3,0.5,5410,-1.0211,0.3311,23.3641,-99.9990,-99.9990,5717.3776,7.4293,-10.758,1.0262,0.3908,2.7560,78.4843,5583,2875,38.5878,6.3617
1h_n8,2,atr,1.5,0,1.5,0,8691,-2.1047,0.2514,22.5521,-100.0000,-100.0000,6204.1770,4.3011,-18.868,2.0569,0.2792,4.4274,86.8600,0,964,38.8712,6.3403
1h_n8,2,atr,1.5,0,1.5,0.3,6860,-1.2831,0.2857,27.6531,-100.0000,-100.0000,6339.3980,4.2718,-16.047,1.2588,0.3305,3.4947,83.5423,1837,964,38.8712,6.3403
1h_n8,2,atr,1.5,0,1.5,0.5,4907,-1.0260,0.3014,31.9136,-99.9979,-99.9979,6322.3416,4.0709,-12.946,0.9988,0.3959,2.4997,78.0110,3791,957,38.8712,6.3403
1h_n8,2,atr,1.5,0,2,0,8580,-2.0752,0.2782,22.4359,-100.0000,-100.0000,6090.6932,5.5665,-17.353,2.0582,0.2799,4.3709,86.7599,0,1344,38.8712,6.3403
1h_n8,2,atr,1.5,0,2,0.3,6775,-1.2664,0.3141,26.7159,-100.0000,-100.0000,6199.8303,5.5163,-14.642,1.2592,0.3312,3.4513,83.4244,1811,1344,38.8712,6.3403
1h_n8,2,atr,1.5,0,2,0.5,4845,-1.0165,0.3368,28.7100,-99.9971,-99.9971,6285.8908,5.2195,-11.75,0.9994,0.3968,2.4682,77.8535,3742,1334,38.8712,6.3403
1h_n8,2,atr,1.5,0,3,0,8384,-2.0051,0.2914,20.5272,-100.0000,-100.0000,5828.2807,7.5771,-14.9,2.0378,0.2811,4.2710,86.6054,0,1964,38.8712,6.3403
1h_n8,2,atr,1.5,0,3,0.3,6629,-1.2144,0.3332,23.1558,-99.9999,-99.9999,5983.8954,7.4795,-12.392,1.2510,0.3324,3.3770,83.2554,1760,1962,38.8712,6.3403
1h_n8,2,atr,1.5,0,3,0.5,4744,-0.9739,0.3567,23.7563,-99.9946,-99.9946,6098.4269,6.9944,-9.757,0.9918,0.3979,2.4167,77.6560,3650,1928,38.8712,6.3403
1h_n8,2,atr,1.5,0.1,1.5,0,10292,-2.5754,0.2449,20.6860,-100.0000,-100.0000,6194.7040,4.5081,-20.625,2.5125,0.2577,5.2430,88.3016,0,1178,38.8712,6.3403
1h_n8,2,atr,1.5,0.1,1.5,0.3,7490,-1.3109,0.2899,27.3031,-100.0000,-100.0000,6403.5001,4.4663,-16.778,1.2830,0.3239,3.8156,84.1656,2811,1176,38.8712,6.3403
1h_n8,2,atr,1.5,0.1,1.5,0.5,5214,-1.0409,0.3015,31.7223,-99.9990,-99.9990,6289.3307,4.2372,-13.279,1.0101,0.3923,2.6561,78.3468,5088,1168,38.8712,6.3403
1h_n8,2,atr,1.5,0.1,2,0,10158,-2.5126,0.2780,20.8506,-100.0000,-100.0000,6183.8789,5.8643,-19.066,2.4826,0.2583,5.1747,88.2162,0,1651,38.8712,6.3403
1h_n8,2,atr,1.5,0.1,2,0.3,7398,-1.2935,0.3258,26.5342,-100.0000,-100.0000,6370.1031,5.7949,-15.327,1.2840,0.3244,3.7687,84.0633,2769,1649,38.8712,6.3403
1h_n8,2,atr,1.5,0.1,2,0.5,5149,-1.0305,0.3417,28.5687,-99.9986,-99.9986,6331.6955,5.4556,-12.022,1.0110,0.3930,2.6230,78.2094,5019,1637,38.8712,6.3403
1h_n8,2,atr,1.5,0.1,3,0,9911,-2.4390,0.2938,19.3119,-100.0000,-100.0000,5987.0526,8.0624,-16.576,2.4635,0.2595,5.0489,88.0638,0,2457,38.8712,6.3403
1h_n8,2,atr,1.5,0.1,3,0.3,7233,-1.2465,0.3503,22.9227,-100.0000,-100.0000,6237.9055,7.9373,-13.117,1.2767,0.3254,3.6847,83.8933,2686,2453,38.8712,6.3403
1h_n8,2,atr,1.5,0.1,3,0.5,5034,-0.9939,0.3605,23.5002,-99.9975,-99.9974,6153.2388,7.3748,-10.145,1.0033,0.3941,2.5644,77.9897,4891,2405,38.8712,6.3403
1h_n8,2,atr,2,0,1.5,0,7499,-1.9349,0.2532,23.0697,-100.0000,-100.0000,6346.6088,4.0202,-17.163,1.8770,0.2883,3.8202,85.9448,0,648,39.5277,6.1620
1h_n8,2,atr,2,0,1.5,0.3,6013,-1.2649,0.2866,28.0060,-99.9998,-99.9998,6511.0713,3.9962,-14.707,1.2253,0.3378,3.0632,82.6875,1490,647,39.5277,6.1620
1h_n8,2,atr,2,0,1.5,0.5,4364,-1.0082,0.3073,32.1952,-99.9926,-99.9926,6519.4765,3.8351,-11.774,0.9673,0.4026,2.2231,77.0394,3140,642,39.5277,6.1620
1h_n8,2,atr,2,0,2,0,7401,-1.8999,0.2901,22.9564,-100.0000,-100.0000,6418.7408,5.2741,-15.765,1.8765,0.2888,3.7702,85.8533,0,942,39.5277,6.1620
1h_n8,2,atr,2,0,2,0.3,5935,-1.2423,0.3263,27.0935,-99.9997,-99.9997,6583.7024,5.2346,-13.404,1.2246,0.3384,3.0234,82.5779,1470,941,39.5277,6.1620
