context,n_15m,detector,atr_mult,buffer,r_target,k_stop,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,share_stop_dominated_pct,ignored_in_position,pct_time_neutral_context,context_state_changes_per_week
4h_n5,2,fractal,-,0,1.5,3,2042,-0.1929,0.6830,33.4476,-86.6834,-86.2032,7939.7526,28.3120,-3.591,0.1744,1.7069,1.0402,2.4976,98.8737,3539,38.4030,2.4962
4h_n5,2,fractal,-,0,1.5,4,1818,-0.1559,0.6762,33.6084,-76.2033,-76.1330,6176.4713,33.7054,-3.031,0.1315,2.2743,0.9261,0.4950,99.6150,4145,38.4030,2.4962
4h_n5,2,fractal,-,0,2,3,1954,-0.1978,0.6909,31.4227,-85.9716,-85.7750,7810.1292,30.6999,-3.273,0.1747,1.7037,0.9954,2.5077,98.9253,3782,38.4030,2.4962
4h_n5,2,fractal,-,0,2,4,1747,-0.1543,0.6859,32.3412,-74.5625,-74.5160,6107.7251,35.4807,-2.725,0.1316,2.2806,0.8900,0.5152,99.5993,4329,38.4030,2.4962
4h_n5,2,fractal,-,0,3,3,1859,-0.1874,0.7072,29.9623,-83.1699,-82.9281,7728.4450,33.1385,-2.717,0.1749,1.7084,0.9470,2.5282,98.9779,4050,38.4030,2.4962
4h_n5,2,fractal,-,0,3,4,1681,-0.1548,0.6893,31.4694,-73.4756,-73.4231,5949.9171,37.1229,-2.508,0.1321,2.2715,0.8563,0.4759,99.7026,4543,38.4030,2.4962
4h_n5,2,fractal,-,0.1,1.5,3,2185,-0.1918,0.6825,33.9588,-88.1427,-87.8836,7783.7865,31.9972,-3.65,0.1728,1.7285,1.1131,2.4714,99.0389,4798,38.4030,2.4962
4h_n5,2,fractal,-,0.1,1.5,4,1897,-0.1523,0.6807,34.0538,-76.8670,-76.8657,6113.7141,37.3848,-2.979,0.1301,2.3121,0.9664,0.4744,99.6837,5530,38.4030,2.4962
4h_n5,2,fractal,-,0.1,2,3,2069,-0.2029,0.6756,31.2228,-88.0334,-87.9956,7304.0334,34.3618,-3.398,0.1729,1.7299,1.0540,2.5133,99.1300,5104,38.4030,2.4962
4h_n5,2,fractal,-,0.1,2,4,1810,-0.1516,0.6947,32.6519,-75.2057,-75.2057,6156.8852,39.2804,-2.663,0.1304,2.3194,0.9221,0.4972,99.6685,5774,38.4030,2.4962
4h_n5,2,fractal,-,0.1,3,3,1947,-0.2019,0.6845,29.4299,-86.2963,-86.2963,7150.8297,37.1767,-2.92,0.1730,1.7372,0.9918,2.5681,99.1782,5480,38.4030,2.4962
4h_n5,2,fractal,-,0.1,3,4,1735,-0.1559,0.6838,31.4697,-74.8526,-74.8526,5757.2284,41.2202,-2.495,0.1311,2.3060,0.8839,0.4611,99.7118,6067,38.4030,2.4962
4h_n5,2,atr,2,0,1.5,3,1641,-0.1643,0.7307,34.7349,-74.9846,-74.0418,8196.7306,24.9264,-2.693,0.1757,1.7217,0.8360,2.8032,98.7203,2351,38.6338,2.0790
4h_n5,2,atr,2,0,1.5,4,1442,-0.1190,0.7407,34.9515,-58.6788,-58.0406,6053.9688,30.2459,-2.021,0.1320,2.3092,0.7346,0.6241,99.6533,2870,38.6338,2.0790
4h_n5,2,atr,2,0,2,3,1557,-0.1666,0.7336,32.1773,-73.5545,-72.7184,7789.6205,27.2159,-2.377,0.1757,1.7255,0.7932,2.7617,98.6513,2559,38.6338,2.0790
4h_n5,2,atr,2,0,2,4,1398,-0.1126,0.7689,33.5479,-56.3728,-54.9661,6232.9017,32.1846,-1.715,0.1317,2.3149,0.7122,0.6438,99.6423,3034,38.6338,2.0790
4h_n5,2,atr,2,0,3,3,1488,-0.1618,0.7516,30.5108,-71.9473,-70.3438,7761.2806,30.0021,-1.985,0.1756,1.7300,0.7580,2.6882,98.6559,2797,38.6338,2.0790
4h_n5,2,atr,2,0,3,4,1343,-0.1021,0.7961,32.6880,-51.9472,-50.3503,6335.3741,34.1776,-1.384,0.1325,2.3190,0.6842,0.6701,99.6277,3212,38.6338,2.0790
4h_n5,2,atr,2,0.1,1.5,3,1790,-0.1566,0.7399,35.0838,-75.8790,-75.4450,8586.8896,27.4821,-2.663,0.1750,1.7382,0.9119,2.8492,98.9385,3039,38.6338,2.0790
4h_n5,2,atr,2,0.1,1.5,4,1548,-0.1157,0.7404,34.7545,-59.8631,-59.7250,6134.9937,33.2013,-2.031,0.1311,2.3340,0.7886,0.5168,99.6770,3664,38.6338,2.0790
4h_n5,2,atr,2,0.1,2,3,1686,-0.1616,0.7364,32.1471,-74.7800,-74.5302,7977.2906,30.0260,-2.38,0.1748,1.7423,0.8589,2.7284,98.9324,3302,38.6338,2.0790
4h_n5,2,atr,2,0.1,2,4,1493,-0.1046,0.7805,33.3557,-55.5006,-54.8297,6490.7559,35.3530,-1.641,0.1311,2.3365,0.7606,0.5358,99.6651,3880,38.6338,2.0790
4h_n5,2,atr,2,0.1,3,3,1597,-0.1512,0.7612,30.3694,-71.6553,-70.6121,7992.6948,33.0661,-1.896,0.1749,1.7462,0.8136,2.6925,98.9355,3609,38.6338,2.0790
4h_n5,2,atr,2,0.1,3,4,1421,-0.0969,0.7987,32.3716,-51.4703,-50.6591,6378.4996,37.6105,-1.348,0.1321,2.3379,0.7239,0.5630,99.6481,4123,38.6338,2.0790
4h_n5,3,fractal,-,0,1.5,3,1643,-0.2092,0.6754,33.6579,-82.1116,-82.0655,7164.7642,25.0983,-3.383,0.1787,1.6857,0.8370,2.6172,98.6610,2309,38.4030,2.4962
4h_n5,3,fractal,-,0,1.5,4,1479,-0.1710,0.6511,33.7390,-72.2483,-72.1036,5180.7948,30.3310,-2.897,0.1352,2.2454,0.7534,0.6085,99.4591,2714,38.4030,2.4962
4h_n5,3,fractal,-,0,2,3,1576,-0.2145,0.6587,30.9645,-81.8429,-81.6780,6473.8340,27.2351,-3.087,0.1788,1.6880,0.8029,2.5381,98.6041,2468,38.4030,2.4962
4h_n5,3,fractal,-,0,2,4,1419,-0.1666,0.6703,31.9944,-69.8770,-69.8219,5115.4560,32.4587,-2.534,0.1343,2.2622,0.7229,0.4933,99.4362,2880,38.4030,2.4962
4h_n5,3,fractal,-,0,3,3,1495,-0.2039,0.6741,28.9632,-78.5887,-78.5335,6242.9187,30.0548,-2.531,0.1783,1.6993,0.7616,2.4749,98.6622,2693,38.4030,2.4962
4h_n5,3,fractal,-,0,3,4,1356,-0.1541,0.6990,31.0472,-65.5684,-65.5054,5157.2278,34.6934,-2.093,0.1345,2.2660,0.6908,0.5162,99.5575,3060,38.4030,2.4962
4h_n5,3,fractal,-,0.1,1.5,3,1772,-0.2018,0.6798,33.6907,-83.4362,-83.3852,7183.5723,27.8190,-3.376,0.1751,1.7196,0.9027,2.4831,98.7585,3018,38.4030,2.4962
4h_n5,3,fractal,-,0.1,1.5,4,1549,-0.1661,0.6600,33.5055,-73.1642,-72.8016,5227.0489,33.5505,-2.874,0.1318,2.2899,0.7891,0.5165,99.6127,3555,38.4030,2.4962
4h_n5,3,fractal,-,0.1,2,3,1678,-0.2178,0.6519,30.3933,-84.3191,-84.1487,6321.2995,30.0734,-3.222,0.1758,1.7176,0.8548,2.4434,98.8081,3220,38.4030,2.4962
4h_n5,3,fractal,-,0.1,2,4,1478,-0.1643,0.6804,31.6644,-70.8785,-70.8361,5228.7382,35.7378,-2.528,0.1320,2.3001,0.7529,0.4736,99.5940,3753,38.4030,2.4962
4h_n5,3,fractal,-,0.1,3,3,1575,-0.2149,0.6634,28.1905,-82.0866,-81.9555,6099.6078,33.1529,-2.721,0.1757,1.7281,0.8023,2.5397,98.8571,3515,38.4030,2.4962
4h_n5,3,fractal,-,0.1,3,4,1409,-0.1571,0.6961,30.3762,-67.6989,-67.6519,5133.9677,38.0412,-2.152,0.1323,2.3046,0.7178,0.4968,99.6451,3975,38.4030,2.4962
4h_n5,3,atr,2,0,1.5,3,1407,-0.1788,0.7236,33.7598,-72.7712,-71.4826,7433.5662,22.7577,-2.636,0.1778,1.6959,0.7168,2.9140,98.4364,1750,38.6338,2.0790
4h_n5,3,atr,2,0,1.5,4,1250,-0.1376,0.7254,33.0400,-59.4064,-58.1988,5402.8662,27.9958,-2.091,0.1337,2.2648,0.6368,0.7200,99.5200,2148,38.6338,2.0790
4h_n5,3,atr,2,0,2,3,1353,-0.1901,0.7190,30.0074,-73.4062,-72.3478,7022.1393,24.8221,-2.465,0.1781,1.6964,0.6893,2.9564,98.3740,1889,38.6338,2.0790
4h_n5,3,atr,2,0,2,4,1204,-0.1394,0.7326,31.0631,-59.3648,-57.2896,5218.6453,30.0920,-1.878,0.1333,2.2756,0.6133,0.6645,99.5017,2287,38.6338,2.0790
4h_n5,3,atr,2,0,3,3,1283,-0.1854,0.7337,27.9813,-71.5361,-69.7854,6814.0309,27.6040,-2.045,0.1773,1.7108,0.6536,2.7280,98.3632,2089,38.6338,2.0790
4h_n5,3,atr,2,0,3,4,1152,-0.1245,0.7721,29.8611,-55.0887,-51.9340,5416.4018,32.2075,-1.49,0.1341,2.2800,0.5869,0.6944,99.4792,2439,38.6338,2.0790
4h_n5,3,atr,2,0.1,1.5,3,1555,-0.1622,0.7376,34.5338,-72.8489,-71.7867,7803.3735,25.2772,-2.518,0.1756,1.7165,0.7922,2.7653,98.5852,2236,38.6338,2.0790
4h_n5,3,atr,2,0.1,1.5,4,1357,-0.1252,0.7412,33.7509,-58.8302,-57.9074,5654.9456,30.9794,-1.987,0.1315,2.3004,0.6913,0.5158,99.5578,2732,38.6338,2.0790
