context,n_15m,detector,atr_mult,buffer,r_target,k_stop,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,share_stop_dominated_pct,ignored_in_position,pct_time_neutral_context,context_state_changes_per_week
4h_n5,2,fractal,-,0,1.5,3,2054,-0.1154,0.7922,36.5628,-72.5001,-70.0857,8376.5677,26.4323,-2.243,0.1346,2.1623,1.0464,0.2921,99.1237,3272,39.3709,2.4641
4h_n5,2,fractal,-,0,1.5,4,1839,-0.0971,0.7849,36.9766,-61.9407,-59.8429,6086.0201,30.9853,-1.982,0.1007,2.9078,0.9368,0.1631,99.8912,3818,39.3709,2.4641
4h_n5,2,fractal,-,0,2,3,1944,-0.1085,0.8103,34.8765,-69.5097,-66.0907,8325.9176,28.9779,-1.86,0.1340,2.1750,0.9903,0.3086,99.1255,3560,39.3709,2.4641
4h_n5,2,fractal,-,0,2,4,1761,-0.0941,0.7979,35.8887,-60.4583,-57.3023,6053.4014,32.9777,-1.748,0.1005,2.9154,0.8971,0.1704,99.8864,4037,39.3709,2.4641
4h_n5,2,fractal,-,0,3,3,1850,-0.0924,0.8412,33.5135,-65.0253,-58.9958,8618.3962,31.5043,-1.396,0.1341,2.1727,0.9424,0.2703,99.0811,3832,39.3709,2.4641
4h_n5,2,fractal,-,0,3,4,1690,-0.0861,0.8220,34.7337,-57.6838,-52.7687,6221.0472,34.8973,-1.411,0.1012,2.8849,0.8609,0.1183,99.8817,4249,39.3709,2.4641
4h_n5,2,fractal,-,0.1,1.5,3,2219,-0.1215,0.7857,36.0973,-76.4606,-74.6352,8285.9717,29.8615,-2.413,0.1326,2.2028,1.1304,0.2704,99.1888,4357,39.3709,2.4641
4h_n5,2,fractal,-,0.1,1.5,4,1957,-0.1025,0.7785,36.3822,-65.8111,-64.0498,6039.1467,34.6008,-2.129,0.0992,2.9667,0.9969,0.2555,99.8978,5014,39.3709,2.4641
4h_n5,2,fractal,-,0.1,2,3,2081,-0.1154,0.8026,34.2143,-74.1146,-70.7508,8192.2701,32.5955,-2.002,0.1319,2.2199,1.0601,0.2883,99.1831,4716,39.3709,2.4641
4h_n5,2,fractal,-,0.1,2,4,1848,-0.1025,0.7893,35.2273,-65.2593,-62.1271,6021.1475,36.8307,-1.921,0.0992,2.9791,0.9414,0.2706,99.8918,5316,39.3709,2.4641
4h_n5,2,fractal,-,0.1,3,3,1948,-0.1071,0.8275,32.7515,-72.1191,-66.0481,8514.3502,35.4062,-1.622,0.1324,2.2183,0.9924,0.3080,99.1273,5074,39.3709,2.4641
