context,n_15m,detector,atr_mult,buffer,r_target,k_stop,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,share_stop_dominated_pct,ignored_in_position,pct_time_neutral_context,context_state_changes_per_week,no_profile_trades,no_profile_share_pct,no_profile_exp_r,no_profile_gross_r,no_profile_pf_r,no_profile_win_pct,no_profile_cost_r,no_profile_stop_pct,no_profile_dom_pct,hors_plage_trades,hors_plage_share_pct,hors_plage_exp_r,hors_plage_gross_r,hors_plage_pf_r,hors_plage_win_pct,hors_plage_cost_r,hors_plage_stop_pct,hors_plage_dom_pct,poc_zone_trades,poc_zone_share_pct,poc_zone_exp_r,poc_zone_gross_r,poc_zone_pf_r,poc_zone_win_pct,poc_zone_cost_r,poc_zone_stop_pct,poc_zone_dom_pct,sous_val_trades,sous_val_share_pct,sous_val_exp_r,sous_val_gross_r,sous_val_pf_r,sous_val_win_pct,sous_val_cost_r,sous_val_stop_pct,sous_val_dom_pct,sur_vah_trades,sur_vah_share_pct,sur_vah_exp_r,sur_vah_gross_r,sur_vah_pf_r,sur_vah_win_pct,sur_vah_cost_r,sur_vah_stop_pct,sur_vah_dom_pct,dans_valeur_trades,dans_valeur_share_pct,dans_valeur_exp_r,dans_valeur_gross_r,dans_valeur_pf_r,dans_valeur_win_pct,dans_valeur_cost_r,dans_valeur_stop_pct,dans_valeur_dom_pct,primary_trades,primary_exp_r,primary_gross_r,primary_pf_r,primary_win_pct,evaluable,primary_ignored,primary_swallowed_share_pct
4h_n5,2,fractal,-,0,1.5,3,2042,-0.1929,0.6830,33.4476,-86.6834,-86.2032,7939.7526,28.3120,-3.591,0.1744,1.7069,1.0402,2.4976,98.8737,3539,38.4030,2.4962,0,0.0000,,,,,,,,657,32.1743,-0.1635,-0.0101,0.6770,34.7032,0.1535,1.8853,99.0868,83,4.0646,-0.0965,0.0868,0.8135,38.5542,0.1834,1.5339,100.0000,322,15.7689,-0.2601,-0.0936,0.5470,30.4348,0.1665,1.7687,98.4472,303,14.8384,-0.1882,-0.0024,0.6405,36.3036,0.1858,1.5967,98.3498,677,33.1538,-0.2034,-0.0112,0.6272,31.7578,0.1922,1.5751,98.9660,394,-0.2258,-0.0397,0.5948,34.7716,1,362,47.8836
4h_n5,2,fractal,-,0,1.5,4,1818,-0.1559,0.6762,33.6084,-76.2033,-76.1330,6176.4713,33.7054,-3.031,0.1315,2.2743,0.9261,0.4950,99.6150,4145,38.4030,2.4962,0,0.0000,,,,,,,,592,32.5633,-0.1386,-0.0241,0.6626,34.2905,0.1145,2.5332,99.8311,77,4.2354,-0.0938,0.0449,0.7897,38.9610,0.1387,2.0157,100.0000,284,15.6216,-0.2168,-0.0925,0.5505,30.2817,0.1243,2.3743,99.2958,272,14.9615,-0.1084,0.0323,0.7487,38.6029,0.1408,2.1445,98.8971,593,32.6183,-0.1737,-0.0270,0.6359,31.5346,0.1467,2.0610,99.8314,352,-0.1901,-0.0502,0.6013,34.6591,1,404,53.4392
4h_n5,2,fractal,-,0,2,3,1954,-0.1978,0.6909,31.4227,-85.9716,-85.7750,7810.1292,30.6999,-3.273,0.1747,1.7037,0.9954,2.5077,98.9253,3782,38.4030,2.4962,0,0.0000,,,,,,,,640,32.7533,-0.1860,-0.0321,0.6482,32.1875,0.1539,1.8808,99.0625,79,4.0430,-0.1260,0.0547,0.7693,35.4430,0.1807,1.5409,100.0000,306,15.6602,-0.2617,-0.0959,0.5592,29.0850,0.1658,1.7701,98.6928,295,15.0972,-0.1608,0.0260,0.7021,35.2542,0.1868,1.5955,98.6441,634,32.4463,-0.2052,-0.0117,0.6434,29.4953,0.1935,1.5634,98.8959,387,-0.2256,-0.0393,0.6099,33.0749,1,369,48.8095
4h_n5,2,fractal,-,0,2,4,1747,-0.1543,0.6859,32.3412,-74.5625,-74.5160,6107.7251,35.4807,-2.725,0.1316,2.2806,0.8900,0.5152,99.5993,4329,38.4030,2.4962,0,0.0000,,,,,,,,572,32.7418,-0.1449,-0.0306,0.6537,33.2168,0.1143,2.5417,99.8252,75,4.2931,-0.0230,0.1137,0.9492,38.6667,0.1367,2.0385,100.0000,272,15.5695,-0.2484,-0.1222,0.4977,29.0441,0.1262,2.3503,99.2647,259,14.8254,-0.1075,0.0328,0.7571,37.8378,0.1404,2.1597,98.8417,569,32.5701,-0.1575,-0.0107,0.6785,29.7012,0.1468,2.0717,99.8243,345,-0.1997,-0.0593,0.5931,33.6232,1,411,54.3651
4h_n5,2,fractal,-,0,3,3,1859,-0.1874,0.7072,29.9623,-83.1699,-82.9281,7728.4450,33.1385,-2.717,0.1749,1.7084,0.9470,2.5282,98.9779,4050,38.4030,2.4962,0,0.0000,,,,,,,,614,33.0285,-0.1643,-0.0108,0.6947,31.2704,0.1534,1.8889,99.0228,75,4.0344,-0.1166,0.0605,0.7948,33.3333,0.1771,1.5714,100.0000,291,15.6536,-0.2956,-0.1273,0.5143,28.1787,0.1683,1.7519,98.9691,275,14.7929,-0.1455,0.0407,0.7397,33.8182,0.1863,1.6133,98.5455,604,32.4906,-0.1865,0.0079,0.6895,27.3179,0.1944,1.5643,99.0066,378,-0.1877,-0.0015,0.6811,32.5397,1,378,50.0000
4h_n5,2,fractal,-,0,3,4,1681,-0.1548,0.6893,31.4694,-73.4756,-73.4231,5949.9171,37.1229,-2.508,0.1321,2.2715,0.8563,0.4759,99.7026,4543,38.4030,2.4962,0,0.0000,,,,,,,,547,32.5402,-0.1327,-0.0177,0.6889,32.9068,0.1149,2.5235,99.8172,73,4.3427,-0.1033,0.0334,0.7857,35.6164,0.1366,2.0459,100.0000,257,15.2885,-0.2323,-0.1047,0.5349,29.1829,0.1275,2.3408,99.6109,247,14.6936,-0.1284,0.0105,0.7222,36.4372,0.1389,2.1894,99.1903,557,33.1350,-0.1592,-0.0119,0.6838,28.3662,0.1473,2.0581,99.8205,338,-0.1688,-0.0301,0.6588,33.7278,1,418,55.2910
4h_n5,2,fractal,-,0.1,1.5,3,2185,-0.1918,0.6825,33.9588,-88.1427,-87.8836,7783.7865,31.9972,-3.65,0.1728,1.7285,1.1131,2.4714,99.0389,4798,38.4030,2.4962,0,0.0000,,,,,,,,707,32.3570,-0.1803,-0.0291,0.6519,34.6535,0.1512,1.9306,99.1513,83,3.7986,-0.0237,0.1648,0.9529,39.7590,0.1885,1.5163,100.0000,342,15.6522,-0.2683,-0.1029,0.5445,30.7018,0.1654,1.7603,98.5380,327,14.9657,-0.1847,-0.0014,0.6540,36.0856,0.1834,1.6083,98.7768,726,33.2265,-0.1894,0.0015,0.6571,33.1956,0.1909,1.5951,99.1736,415,-0.2475,-0.0644,0.5724,33.7349,1,467,52.9478
4h_n5,2,fractal,-,0.1,1.5,4,1897,-0.1523,0.6807,34.0538,-76.8670,-76.8657,6113.7141,37.3848,-2.979,0.1301,2.3121,0.9664,0.4744,99.6837,5530,38.4030,2.4962,0,0.0000,,,,,,,,631,33.2630,-0.1387,-0.0255,0.6681,35.0238,0.1132,2.5866,99.8415,77,4.0590,-0.0389,0.1017,0.9077,40.2597,0.1406,2.0313,100.0000,296,15.6036,-0.2108,-0.0865,0.5762,30.4054,0.1243,2.3620,99.3243,284,14.9710,-0.1381,0.0003,0.6936,37.6761,0.1385,2.1684,99.2958,609,32.1033,-0.1588,-0.0136,0.6681,32.3481,0.1452,2.1059,99.8358,357,-0.2107,-0.0729,0.5793,33.8936,1,525,59.5238
4h_n5,2,fractal,-,0.1,2,3,2069,-0.2029,0.6756,31.2228,-88.0334,-87.9956,7304.0334,34.3618,-3.398,0.1729,1.7299,1.0540,2.5133,99.1300,5104,38.4030,2.4962,0,0.0000,,,,,,,,687,33.2044,-0.1912,-0.0393,0.6434,32.3144,0.1518,1.9205,99.1266,81,3.9149,-0.0813,0.1028,0.8511,35.8025,0.1840,1.5260,100.0000,321,15.5147,-0.2733,-0.1086,0.5543,28.3489,0.1647,1.7703,98.7539,315,15.2247,-0.1851,-0.0010,0.6681,33.9683,0.1841,1.6131,99.3651,665,32.1411,-0.2043,-0.0124,0.6523,29.6241,0.1919,1.5937,99.0977,403,-0.2664,-0.0832,0.5615,31.2655,1,479,54.3084
4h_n5,2,fractal,-,0.1,2,4,1810,-0.1516,0.6947,32.6519,-75.2057,-75.2057,6156.8852,39.2804,-2.663,0.1304,2.3194,0.9221,0.4972,99.6685,5774,38.4030,2.4962,0,0.0000,,,,,,,,605,33.4254,-0.1552,-0.0429,0.6350,33.3884,0.1123,2.6107,99.8347,76,4.1989,0.0227,0.1633,1.0517,39.4737,0.1406,2.0376,100.0000,277,15.3039,-0.2446,-0.1186,0.5220,29.6029,0.1260,2.3501,99.2780,270,14.9171,-0.1442,-0.0050,0.6914,35.9259,0.1392,2.1754,99.2593,582,32.1547,-0.1297,0.0163,0.7356,30.9278,0.1459,2.1057,99.8282,349,-0.2195,-0.0808,0.5710,32.6648,1,533,60.4308
