context,n_15m,detector,atr_mult,buffer,r_target,k_stop,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,share_stop_dominated_pct,ignored_in_position,pct_time_neutral_context,context_state_changes_per_week,no_profile_trades,no_profile_share_pct,no_profile_exp_r,no_profile_gross_r,no_profile_pf_r,no_profile_win_pct,no_profile_cost_r,no_profile_stop_pct,no_profile_dom_pct,hors_plage_trades,hors_plage_share_pct,hors_plage_exp_r,hors_plage_gross_r,hors_plage_pf_r,hors_plage_win_pct,hors_plage_cost_r,hors_plage_stop_pct,hors_plage_dom_pct,poc_zone_trades,poc_zone_share_pct,poc_zone_exp_r,poc_zone_gross_r,poc_zone_pf_r,poc_zone_win_pct,poc_zone_cost_r,poc_zone_stop_pct,poc_zone_dom_pct,sous_val_trades,sous_val_share_pct,sous_val_exp_r,sous_val_gross_r,sous_val_pf_r,sous_val_win_pct,sous_val_cost_r,sous_val_stop_pct,sous_val_dom_pct,sur_vah_trades,sur_vah_share_pct,sur_vah_exp_r,sur_vah_gross_r,sur_vah_pf_r,sur_vah_win_pct,sur_vah_cost_r,sur_vah_stop_pct,sur_vah_dom_pct,dans_valeur_trades,dans_valeur_share_pct,dans_valeur_exp_r,dans_valeur_gross_r,dans_valeur_pf_r,dans_valeur_win_pct,dans_valeur_cost_r,dans_valeur_stop_pct,dans_valeur_dom_pct,primary_trades,primary_exp_r,primary_gross_r,primary_pf_r,primary_win_pct,evaluable,primary_ignored,primary_swallowed_share_pct
4h_n5,2,fractal,-,0,1.5,3,2054,-0.1154,0.7922,36.5628,-72.5001,-70.0857,8376.5677,26.4323,-2.243,0.1346,2.1623,1.0464,0.2921,99.1237,3272,39.3709,2.4641,0,0.0000,,,,,,,,643,31.3048,-0.0788,0.0354,0.8367,38.1026,0.1142,2.5145,99.2224,85,4.1383,-0.4186,-0.2599,0.3320,22.3529,0.1587,1.7549,100.0000,312,15.1899,-0.1802,-0.0373,0.6643,36.8590,0.1430,2.0326,98.7179,289,14.0701,-0.1060,0.0258,0.7792,37.3702,0.1318,2.0298,98.2699,725,35.2970,-0.0882,0.0592,0.8142,36.4138,0.1474,2.0064,99.4483,379,-0.1673,-0.0254,0.6756,36.9393,1,279,42.4012
4h_n5,2,fractal,-,0,1.5,4,1839,-0.0971,0.7849,36.9766,-61.9407,-59.8429,6086.0201,30.9853,-1.982,0.1007,2.9078,0.9368,0.1631,99.8912,3818,39.3709,2.4641,0,0.0000,,,,,,,,592,32.1914,-0.1000,-0.0147,0.7628,36.8243,0.0854,3.3823,100.0000,68,3.6977,-0.3205,-0.2002,0.3914,22.0588,0.1203,2.3188,100.0000,286,15.5519,-0.1479,-0.0402,0.6751,37.0629,0.1077,2.7062,99.6503,258,14.0294,-0.0458,0.0541,0.8822,41.4729,0.1000,2.6906,99.6124,635,34.5296,-0.0683,0.0416,0.8303,36.8504,0.1099,2.7076,100.0000,350,-0.1480,-0.0403,0.6680,37.7143,1,308,46.8085
4h_n5,2,fractal,-,0,2,3,1944,-0.1085,0.8103,34.8765,-69.5097,-66.0907,8325.9176,28.9779,-1.86,0.1340,2.1750,0.9903,0.3086,99.1255,3560,39.3709,2.4641,0,0.0000,,,,,,,,628,32.3045,-0.0937,0.0202,0.8146,35.6688,0.1139,2.5252,99.2038,74,3.8066,-0.3815,-0.2210,0.4006,21.6216,0.1605,1.7635,100.0000,303,15.5864,-0.1534,-0.0108,0.7179,35.6436,0.1426,2.0252,98.6799,271,13.9403,-0.0842,0.0477,0.8283,37.2694,0.1318,2.0344,98.1550,668,34.3621,-0.0817,0.0653,0.8346,34.2814,0.1470,2.0164,99.5509,372,-0.1451,-0.0031,0.7240,35.7527,1,286,43.4650
4h_n5,2,fractal,-,0,2,4,1761,-0.0941,0.7979,35.8887,-60.4583,-57.3023,6053.4014,32.9777,-1.748,0.1005,2.9154,0.8971,0.1704,99.8864,4037,39.3709,2.4641,0,0.0000,,,,,,,,571,32.4248,-0.0879,-0.0021,0.7945,36.6025,0.0858,3.3704,100.0000,65,3.6911,-0.2667,-0.1449,0.4895,21.5385,0.1218,2.2923,100.0000,277,15.7297,-0.1705,-0.0639,0.6394,35.0181,0.1066,2.7370,99.6390,244,13.8558,-0.0580,0.0425,0.8585,39.7541,0.1005,2.6964,99.5902,604,34.2987,-0.0608,0.0486,0.8516,35.5960,0.1094,2.7226,100.0000,343,-0.1471,-0.0390,0.6793,37.0262,1,315,47.8723
4h_n5,2,fractal,-,0,3,3,1850,-0.0924,0.8412,33.5135,-65.0253,-58.9958,8618.3962,31.5043,-1.396,0.1341,2.1727,0.9424,0.2703,99.0811,3832,39.3709,2.4641,0,0.0000,,,,,,,,601,32.4865,-0.0586,0.0560,0.8861,35.2745,0.1146,2.4993,99.1681,70,3.7838,-0.3697,-0.2069,0.4315,20.0000,0.1628,1.7496,100.0000,289,15.6216,-0.1820,-0.0403,0.6807,32.5260,0.1416,2.0400,98.6159,252,13.6216,-0.1044,0.0278,0.7988,35.3175,0.1322,2.0413,98.0159,638,34.4865,-0.0486,0.0981,0.9034,33.0721,0.1467,2.0236,99.5298,362,-0.1464,-0.0035,0.7323,34.2541,1,296,44.9848
4h_n5,2,fractal,-,0,3,4,1690,-0.0861,0.8220,34.7337,-57.6838,-52.7687,6221.0472,34.8973,-1.411,0.1012,2.8849,0.8609,0.1183,99.8817,4249,39.3709,2.4641,0,0.0000,,,,,,,,540,31.9527,-0.1021,-0.0159,0.7681,35.3704,0.0862,3.3509,100.0000,59,3.4911,-0.3528,-0.2334,0.4074,15.2542,0.1194,2.2741,100.0000,263,15.5621,-0.1205,-0.0127,0.7492,34.2205,0.1079,2.7013,99.6198,238,14.0828,-0.0877,0.0131,0.7923,38.2353,0.1008,2.6875,99.5798,590,34.9112,-0.0288,0.0814,0.9300,34.9153,0.1103,2.6811,100.0000,337,-0.1350,-0.0267,0.7120,35.6083,1,321,48.7842
4h_n5,2,fractal,-,0.1,1.5,3,2219,-0.1215,0.7857,36.0973,-76.4606,-74.6352,8285.9717,29.8615,-2.413,0.1326,2.2028,1.1304,0.2704,99.1888,4357,39.3709,2.4641,0,0.0000,,,,,,,,718,32.3569,-0.0673,0.0464,0.8609,38.9972,0.1137,2.5268,99.3036,88,3.9658,-0.4087,-0.2560,0.3679,22.7273,0.1526,1.8371,100.0000,350,15.7729,-0.1649,-0.0279,0.6935,35.4286,0.1370,2.1785,98.8571,302,13.6097,-0.1311,-0.0016,0.7375,36.4238,0.1295,2.0891,98.3444,761,34.2947,-0.1157,0.0316,0.7682,35.0854,0.1473,1.9957,99.4744,398,-0.1668,-0.0263,0.6870,36.1809,1,377,48.6452
4h_n5,2,fractal,-,0.1,1.5,4,1957,-0.1025,0.7785,36.3822,-65.8111,-64.0498,6039.1467,34.6008,-2.129,0.0992,2.9667,0.9969,0.2555,99.8978,5014,39.3709,2.4641,0,0.0000,,,,,,,,653,33.3674,-0.0856,-0.0006,0.7963,38.4380,0.0850,3.4062,100.0000,71,3.6280,-0.3294,-0.2148,0.3933,22.5352,0.1146,2.4385,100.0000,315,16.0961,-0.1347,-0.0319,0.7057,35.5556,0.1028,2.9229,99.6825,265,13.5411,-0.0841,0.0149,0.8003,38.1132,0.0990,2.7203,99.6226,653,33.3674,-0.0866,0.0234,0.7950,35.5283,0.1100,2.7057,100.0000,359,-0.1420,-0.0358,0.6926,36.7688,1,416,53.6774
4h_n5,2,fractal,-,0.1,2,3,2081,-0.1154,0.8026,34.2143,-74.1146,-70.7508,8192.2701,32.5955,-2.002,0.1319,2.2199,1.0601,0.2883,99.1831,4716,39.3709,2.4641,0,0.0000,,,,,,,,695,33.3974,-0.0890,0.0244,0.8252,36.4029,0.1134,2.5437,99.2806,77,3.7001,-0.4046,-0.2506,0.4111,20.7792,0.1540,1.8527,100.0000,335,16.0980,-0.1370,-0.0001,0.7507,34.0299,0.1369,2.1719,98.8060,282,13.5512,-0.0941,0.0351,0.8143,36.1702,0.1292,2.0867,98.2270,692,33.2532,-0.1079,0.0389,0.7914,32.8035,0.1469,2.0129,99.5665,386,-0.1314,0.0086,0.7571,34.9741,1,389,50.1935
4h_n5,2,fractal,-,0.1,2,4,1848,-0.1025,0.7893,35.2273,-65.2593,-62.1271,6021.1475,36.8307,-1.921,0.0992,2.9791,0.9414,0.2706,99.8918,5316,39.3709,2.4641,0,0.0000,,,,,,,,628,33.9827,-0.0661,0.0192,0.8440,38.3758,0.0853,3.4000,100.0000,65,3.5173,-0.2741,-0.1574,0.4951,23.0769,0.1167,2.4222,100.0000,298,16.1255,-0.1509,-0.0486,0.6811,33.5570,0.1023,2.9672,99.6644,245,13.2576,-0.1318,-0.0328,0.7113,35.5102,0.0990,2.7417,99.5918,612,33.1169,-0.0864,0.0236,0.7991,33.9869,0.1100,2.7074,100.0000,347,-0.1523,-0.0455,0.6846,35.4467,1,428,55.2258
